"victim","sq","victim_age","victim_race","victim_gender","URL.of.image.of.victim","doi.x","Agency.responsible.for.death","Cause.of.death","A.brief.description.of.the.circumstances.surrounding.the.death","Official.disposition.of.death..justified.or.other.","Criminal.Charges.","Symptoms.of.mental.illness.","Armed.Unarmed.Status","Alleged.Weapon..Source..WaPo.and.Review.of.Cases.Not.Included.in.WaPo.Database.","Alleged.Threat.Level..Source..WaPo.","Fleeing..Source..WaPo.","Body.Camera..Source..WaPo.","Zip","City_y","State_y","Latitude","Longitude","Link.to.news.article.or.photo.of.official.document"
"Roger Barker",7.54062152865715,"53","White","Male","http://bloximages.chicago2.vip.townnews.com/news.hjnews.com/content/tncms/assets/v3/editorial/c/a4/ca4f81e2-cf7d-5033-933f-f993eb1d4c29/55ba527445ee0.image.jpg","2015-07-29","Logan Police Department","Gunshot","Barker allegedly shot at police from his porch, prompting them to return fire. Officers were responding to reports that he was suicidal. Authorities said a Swat team and negotiators were deployed but Barker, armed with a handgun, continued threatening officers.","Pending investigation/No Known Charges","No known charges","Yes","Allegedly Armed","gun","attack","Not fleeing","No",84321,"Logan","UT",41.730637,-111.78042,"http://www.sltrib.com/home/2784805-155/logan-swat-standoff-ends-with-deadly"
"Roger Cornelius Allen",50.5940991669642,"44","Unknown race","Male","","2021-04-07","Daly City Police Department","Gunshot","Around 1:55 p.m., Daly City police shot and killed a man. All details as to what precipitated the killing were withheld.","Pending investigation","No known charges","No","Unclear","undetermined","","","",94014,"Daly City","CA",37.699182,-122.45035,"https://www.kron4.com/news/bay-area/police-activity-reported-in-daly-city/"
"Roger D. Hipskind",9.54136924893133,"37","Black","Male","","2021-01-28","Kosciusko County Sheriff's Department, Wabash County Sheriff's Department","Gunshot","Police were serving the search warrant as part of a criminal investigation around 5:45 p.m. when they shot and killed Roger Hipskind. Details as to what precipitated the killing were withheld by police.","Pending investigation","No known charges","Unknown","Unclear","undetermined","","","",46992,"Wabash","IN",40.795068,-85.82953,"https://wpta21.com/2021/01/28/officer-involved-shooting-man-dies/"
"Roger Fortner",7.00124562206948,"49","White","Male","","2018-05-01","League City Police Department","Gunshot","Police said Roger Fortner threatened officers with a samurai-style sword when they came with a warrant. Police said that when Fortner did not put the weapon down, League City police Officer Andrew Gilbertson fired a blunt impact projectile, and Officer Matt Maggiolino shot and killed him.","Pending investigation/No Known Charges","No known charges","No","Allegedly Armed","sword","undetermined","Not fleeing","",77573,"League City","TX",29.502759,-95.08906,"https://www.click2houston.com/news/man-shot-killed-during-police-raid-in-league-city-authorities-say"
"Rolly Thomas",14.9917012897293,"34","Black","Male","http://www.killedbypolice.net/victims/150969.jpg","2015-10-24","Cape Coral Police Department","Gunshot","Thomas allegedly shot at officers who were responding to a report of a domestic disturbance, and officers returned fire. Two other people were found in the home and were taken to hospital for treatment, according to police.","Pending investigation/No Known Charges","No known charges","No","Allegedly Armed","gun","attack","Not fleeing","Yes",33909,"Cape Coral","FL",26.687462,-81.94968,"http://www.winknews.com/2015/10/26/cape-pd-identifies-suspect-in-deadly-weekend-shooting/"
"Romir Talley",74.8832721137786,"24","Black","Male","https://fatalencounters.org/wp-content/uploads/2019/12/Romir-Talley.jpg","2019-12-22","Wilkinsburg Police Department","Gunshot","A police officer fatally shot Romir Talley after firing at Wilkinsburg police during a foot chase. The pursuit began just after 1 a.m., when police responded to a 911 call about a man threatening another person with a gun","Pending investigation/No Known Charges","No known charges","No","Allegedly Armed","gun","attack","Foot","No",15221,"Pittsburgh","PA",40.438035,-79.87191,"https://triblive.com/local/pittsburgh-allegheny/man-killed-in-exchange-of-fire-while-fleeing-from-wilkinsburg-police/"
"Ronald Davis",36.638870866665,"31","Black","Male","https://fatalencounters.org/wp-content/uploads/2019/09/Ronald-Davis.jpg","2019-09-15","St. Paul Police Department","Gunshot","Ronald Davis crashed his car into the back of a squad car that was at a stop sign. Davis reportedly got out of the car and threatened an officer with a knife. The officer shot and killed him within five seconds.","Justified by County Attorney","No known charges","No","Allegedly Armed","knife","attack","Not fleeing","Yes",55104,"Saint Paul","MN",44.953665,-93.15922,"https://minnesota.cbslocal.com/2019/09/16/its-our-harsh-reality-bca-investigates-st-paul-officer-involved-shooting/"
"Ronald Johnson",90.2673614199362,"25","Black","Male","","2014-10-12","Chicago Police Department","Gunshot","Police were investigating a shots-fired call in the 5300 block of South King Drive, and they say when they arrived, a suspect ran and then pointed a gun at officers. They shot and killed 25-year-old Ronald Johnson. Witnesses say he did not have a gun.","Unreported","No known charges","No","Unclear","undetermined","","","",60615,"Chicago","IL",41.801525,-87.60215,"http://abc7chicago.com/news/police-shoot-kill-man-in-washington-park/346997/"
"Ronald Neal",7.6889133368648,"56","White","Male","http://ak-cache.legacy.net/legacy/images/Cobrands/njherald/Photos/7cfa4537-8e2b-4ab2-bc7f-87cbda14eda1.jpg","2015-06-03","Byram Police Department","Gunshot","It's reported that Neal exited his home telling officers to shoot him, while he pointed a shot gun at them. The officers were responding to a call from a neighbor reported that they heard a gun shot.","Pending investigation/No Known Charges","No known charges","Yes","Allegedly Armed","gun","attack","Not fleeing","No",7821,"Andover","NJ",40.966308,-74.74298,"http://www.nj.com/sussex-county/index.ssf/2015/06/man_killed_in_sussex_county_police_shooting_authorities_say.html"
"Ronald Smith",328.484633496122,"45","White","Male","https://mgtvwcmh.files.wordpress.com/2016/08/vet1.jpg","2016-08-09","Pickaway County Sheriff's Office","Gunshot","Deputies were sent out after a veterans' crisis line called Madison County dispatch and said the man was having problems. When the deputies arrived, Radcliff said they were met by a man with a long rifle. About 10 minutes later, shots were fired, and Smith was killed.","Pending investigation/No Known Charges","No known charges","Yes","Allegedly Armed","gun","other","Not fleeing","No",43143,"Mount Sterling","OH",39.710455,-83.28776,"http://nbc4i.com/2016/08/09/man-shot-and-killed-while-deputies-check-on-suicidal-veteran/"
"Rondell Goppy",10.4189723056828,"41","Black","Male","https://fatalencounters.org/wp-content/uploads/2020/11/Rondell-Goppy.jpg","2020-11-24","New York Police Department","Gunshot","Two NYPD officers shot and killed an off-duty college security officer after he opened fire and wounded them as they responded to a domestic violence call at his home. Rondell Goppy walked into his Queens home and started shooting around 12:45 p.m., just minutes after the officers arrived there with a woman who had gone to their police station to report an assault, police said.","Pending investigation","No known charges","Yes","Allegedly Armed","gun","attack","","No",11434,"Jamaica","NY",40.674888,-73.7727,"https://apnews.com/article/new-york-shootings-new-york-city-queens-5099d032939870d513b7f7a73c356d15"
"Ronell Foster",40.3994702347795,"32","Black","Male","http://www.fatalencounters.org/wp-content/uploads/2018/02/Ronell-Foster.jpg","2018-02-13","Vallejo Police Department","Gunshot","Around 7:40 p.m., an officer tried to stop Ronell Foster. Police said he took off running, and the officer chased after him. The two allegedly fought, and the officer shot and killed Foster.","Justified by District Attorney","No known charges","No","Unarmed/Did Not Have Actual Weapon","no object","attack","Foot","No",94590,"Vallejo","CA",38.105219,-122.24571,"http://kron4.com/2018/02/14/1-shot-killed-during-struggle-with-vallejo-police-officer/"
"Ronnie Churches",118.161736026787,"45","Black","Male","https://fatalencounters.org/wp-content/uploads/2019/05/Ronnie-Angelo-Churches.jpg","2019-05-20","Miami-Dade Police Department","Gunshot","Police shot and killed Ronnie Angelo Churches when he pulled a gun on them when they came to question him about a murder.","Pending investigation/No Known Charges","No known charges","No","Allegedly Armed","gun","attack","Not fleeing","No",33056,"Opa Locka","FL",25.946754,-80.24962,"https://miami.cbslocal.com/2019/05/20/police-involved-shooting-in-miami-gardens/?fbclid=IwAR2HMjDIKF3W6knyd7nAFl4FhJlz59Qm-dt_gTeIdI-LpqWo9yxnSZUhT4g"
"Ronnie Jerome Hill",12.5246281896474,"41","Black","Male","https://fatalencounters.org/wp-content/uploads/2019/12/Ronnie-Hill.jpg","2019-12-05","Miami-Dade Police Department, Miramar Police Department, Pembroke Pines Police Department","Gunshot","Lamar Alexander, 41, and Ronnie Jerome Hill, 41, reportedly attempted an armed robbery of a Miracle Mile jewelry store in Coral Gables, Florida. The robbery turned into a hostage situation after Alexander and Hill carjacked a UPS truck. The police chase ended in a shootout on a busy highway with four dead, including the UPS driver Frank Ordonez, 27, and Richard Cutshaw, 70, a union representative.","Pending investigation/No Known Charges","No known charges","No","Allegedly Armed","gun","attack","Car","No",33025,"Hollywood","FL",25.990494,-80.27326,"https://wsvn.com/news/local/fbi-4-dead-including-ups-driver-after-police-chase-ends-in-gunfire-after-coral-gables-armed-robbery/"
"Ronnie Lee Shorter",7.36137542897735,"44","Black","Male","http://www.fatalencounters.org/wp-content/uploads/2013/10/Ronnie-Lee-Shorter.png","2017-01-21","Greenville Police Department","Gunshot","Officers responded to 309 Neff St. on a call of shots fired. They knocked on the door, and he walked out of his home firing a handgun, police said. The officers shot and killed him.","Pending investigation/No Known Charges","No known charges","No","Allegedly Armed","gun","attack","Not fleeing","No",38701,"Greenville","MS",33.380388,-91.05187,"http://www.clarionledger.com/story/news/local/2017/01/22/man-dead-after-shooting-greenville-police/96920870/"
"Roosevelt Brown",6.880384082186,"18","Unknown Race","Male","","2018-08-25","Las Vegas Metropolitan Police Department","Gunshot","Roosevelt Brown was fatally shot by Officer Jonathan Collingwood, 35, after Brown allegedly waved a gun toward others and pointed it at himself during a walking standoff with police. Officers responded to a domestic disturbance call at about 5 a.m., police said. Brown was in the standoff with police from about 6 to 7 a.m.","Pending investigation/No Known Charges","No known charges","No","Allegedly Armed","gun","attack","Not fleeing","",89106,"Las Vegas","NV",36.184219,-115.16292,"https://www.reviewjournal.com/crime/shootings/man-shot-killed-during-standoff-with-las-vegas-police/"
"Ross Anthony",14.9734361777102,"25","Black","Male","","2015-06-09","Dallas Police Department","Taser","Anthony was in the car when a cops ordered him to abandoned the car, ""exhibiting erratic behavior"" and was shot with the taser. He died at the hospital.","Pending investigation/No Known Chargess","No known charges","No","Unarmed/Did Not Have Actual Weapon","no object","","","",75227,"Dallas","TX",32.77003,-96.69,"http://www.dallasnews.com/news/metro/20150609-man-who-died-after-police-used-stun-gun-identified.ece"
"Roudy Hendricks",7.94873845481361,"21","Black","Male","","2013-08-07","Boston Police Department","Gunshot","Boston drug control unit Officers Harry Jean and Terry Cotton were observing two men. An alleged shootout between officers and the men ensued. Both officers were wounded by gunfire, and one of the men was shot to death.","Unknown","No known charges","No","Allegedly Armed","gun","attack","Not fleeing","",2124,"Boston","MA",42.28713,-71.07156,"http://boston.cbslocal.com/2013/08/07/boston-police-officer-shot-by-suspect-in-dorchester/"
